Simulation,Fixed Players Indexs,Number of Simulations,G - Player 0,G - Player 1,G - Player 2,G - Player 3,Player 0,Player 1,Player 2,Player 3,(AC/NC) P0,(AC/NC) P1,(AC/NC) P2,(AC/NC) P3,First Card of The Game
0.0,"[1, 3]",800.0,213.0,195.0,188.0,204.0,"['Card (C, blue)', 'Card (6, yellow)', 'Card (0, blue)', 'Card (+, blue)', 'Card (3, yellow)', 'Card (9, green)', 'Card (R, red)']","['Card (4, blue)', 'Card (X, yellow)', 'Card (9, yellow)', 'Card (2, green)', 'Card (W, red)', 'Card (6, green)', 'Card (1, blue)']","['Card (2, red)', 'Card (X, green)', 'Card (2, green)', 'Card (9, blue)', 'Card (C, green)', 'Card (X, blue)', 'Card (+, green)']","['Card (C, red)', 'Card (6, red)', 'Card (C, yellow)', 'Card (3, blue)', 'Card (X, red)', 'Card (9, blue)', 'Card (R, yellow)']","(2, 5)","(2, 5)","(3, 4)","(2, 5)","Card (8, yellow)"
0.0,"[1, 3]",800.0,206.0,226.0,172.0,196.0,"['Card (5, green)', 'Card (R, yellow)', 'Card (8, red)', 'Card (1, green)', 'Card (9, red)', 'Card (4, yellow)', 'Card (9, green)']","['Card (4, blue)', 'Card (X, yellow)', 'Card (9, yellow)', 'Card (2, green)', 'Card (W, red)', 'Card (6, green)', 'Card (1, blue)']","['Card (2, yellow)', 'Card (0, blue)', 'Card (2, blue)', 'Card (9, blue)', 'Card (X, blue)', 'Card (+, blue)', 'Card (W, yellow)']","['Card (C, red)', 'Card (6, red)', 'Card (C, yellow)', 'Card (3, blue)', 'Card (X, red)', 'Card (9, blue)', 'Card (R, yellow)']","(4, 3)","(2, 5)","(2, 5)","(2, 5)","Card (8, blue)"
0.0,[1],1200.0,294.0,308.0,309.0,289.0,"['Card (+, green)', 'Card (1, red)', 'Card (5, red)', 'Card (+, yellow)', 'Card (X, yellow)', 'Card (+, blue)', 'Card (2, blue)']","['Card (X, green)', 'Card (2, red)', 'Card (2, green)', 'Card (9, blue)', 'Card (C, green)', 'Card (4, blue)', 'Card (3, yellow)']","['Card (+, green)', 'Card (X, blue)', 'Card (8, blue)', 'Card (R, blue)', 'Card (2, yellow)', 'Card (2, blue)', 'Card (X, red)']","['Card (4, red)', 'Card (+, yellow)', 'Card (7, green)', 'Card (5, yellow)', 'Card (C, yellow)', 'Card (7, yellow)', 'Card (R, green)']","(0, 7)","(1, 6)","(4, 3)","(3, 4)","Card (7, red)"
0.0,[],1200.0,326.0,293.0,289.0,292.0,"['Card (1, yellow)', 'Card (5, green)', 'Card (6, yellow)', 'Card (7, red)', 'Card (5, yellow)', 'Card (R, green)', 'Card (R, red)']","['Card (9, blue)', 'Card (4, red)', 'Card (6, yellow)', 'Card (+, blue)', 'Card (4, green)', 'Card (+, blue)', 'Card (C, red)']","['Card (6, green)', 'Card (3, red)', 'Card (8, green)', 'Card (W, blue)', 'Card (2, blue)', 'Card (0, red)', 'Card (1, blue)']","['Card (6, red)', 'Card (X, yellow)', 'Card (8, blue)', 'Card (C, yellow)', 'Card (5, blue)', 'Card (8, yellow)', 'Card (8, yellow)']","(2, 5)","(0, 7)","(0, 7)","(0, 7)","Card (W, green)"
